Product,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51
Pampers Diapers,38904,26804,30930,43017,44634,38713,30072,35285,43322,41303,49420,38662,54391,53891,42740,63391,46832,73141,72519,81322,53441,57393,60973,58908,38360,56974
Luvs Diapers,14390,25753,19775,13585,13333,19943,28893,26618,15222,23233,21180,35688,21152,27762,39453,16851,41530,23098,31080,27108,40316,32284,22552,18603,32677,34920
Tide Pods,87934,66221,50535,39945,40245,45249,41612,66678,46125,49415,87804,72862,79414,71208,48129,74178,72104,50394,91166,87577,74153,46469,85195,43406,42267,66164
Gain Detergent,63952,39243,37352,67275,33538,74660,50373,41386,48432,44474,67145,49442,60245,76905,59453,54207,69099,50394,71828,80071,66482,41578,75172,40995,72102,49623
Downy Fabric Softener,63952,85843,61521,56763,44717,61086,45993,66678,57657,61769,61980,46840,46553,54118,65115,77031,51074,53194,58015,57551,79267,48915,55126,40995,39780,55137
Bounce Dryer Sheets,50629,53958,70309,46252,105084,45249,81034,55182,78413,91418,41320,91077,87629,82602,110412,79884,108155,125985,55253,25022,35798,107612,35080,115749,94478,104759
Bounty Paper Towels,44411,52557,42253,38813,60864,61588,74127,81711,85864,101781,99862,107062,126911,108996,108385,113586,103914,120035,101526,70062,71596,68480,70160,72343,71480,73975
Charmin Toilet Paper,62176,49053,49014,42047,46953,56309,53742,60311,64398,73017,85928,71375,84607,106338,98302,78815,96491,80840,94274,90079,96143,86089,70160,62009,55142,52839
Puffs Tissues,71058,73579,77746,80859,66081,58069,57448,52529,44883,46465,46448,44609,52880,50511,45371,39408,47009,44095,45929,40036,36821,41088,60138,72343,77607,84542
Always Pads,42635,45549,39887,36872,36436,35529,35042,34949,34381,32231,29652,33457,30217,29623,32220,27603,25078,22573,27471,28692,27957,30816,37419,39961,34098,27936
Tampax Tampons,28423,24527,27718,27816,29811,31507,32347,32260,33033,37836,40948,40892,45326,46333,44494,49072,50914,52669,46775,43038,40230,37664,29401,28938,36939,41904
Gillette Mach3 Turbo,26114,25753,28394,31535,37099,43740,35379,53855,70784,60958,42360,44609,52880,49371,52238,49215,61854,35696,45324,39035,46878,71741,48444,24804,34098,38596
Braun Razors,47254,28206,27211,31535,23849,27149,47172,48284,40448,75672,55068,48327,40189,39877,50229,34236,55227,75591,56116,45540,43128,35871,26728,40306,39780,32163
Gillette Venus Swirl,24871,34337,33127,23045,33124,43740,53911,55712,48538,44142,52950,53903,54995,49371,66302,47075,46390,65092,64749,75900,60004,43045,35080,52708,39780,32163
