Product,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51
Pampers Diapers,29178,20103,23197,32263,33476,29035,22554,26464,32492,30977,37065,28996,40793,40418,32055,47543,35124,54856,54389,60991,40081,43045,45730,44181,28770,42731
Luvs Diapers,10792,19315,14831,10189,10000,14958,21670,19964,11416,17425,15885,26766,15864,20822,29590,12638,31148,17323,23310,20331,30237,24213,16914,13952,24508,26190
Tide Pods,70347,52977,40428,31956,32196,36199,33290,53342,36900,39532,70244,58289,63531,56967,38503,59343,57683,40315,72933,70062,59322,37175,68156,34725,33813,52931
Gain Detergent,51162,31394,29882,53820,26830,59728,40298,33109,38745,35579,53716,39554,48196,61524,47562,43366,55280,40315,57463,64057,53186,33262,60138,32796,57681,39698
Downy Fabric Softener,51162,68674,49217,45411,35774,48869,36794,53342,46125,49415,49584,37472,37243,43295,52092,61625,40859,42555,46412,46041,63414,39132,44101,32796,31824,44109
Bounce Dryer Sheets,40503,43167,56247,37001,84067,36199,64827,44146,62730,73135,33056,72862,70103,66081,88330,63908,86524,100788,44202,20018,28639,86089,28064,92599,75582,83807
Bounty Paper Towels,43523,51506,41408,38036,59647,60357,72644,80077,84146,99745,97865,104921,124373,106816,106217,111314,101836,117635,99496,68661,70164,67111,68757,70897,70051,72495
Charmin Toilet Paper,60932,48072,48033,41206,46014,55183,52667,59105,63110,71556,84209,69947,82915,104211,96336,77238,94562,79224,92389,88278,94220,84368,68757,60769,54039,51782
Puffs Tissues,69637,72108,76191,79242,64760,56908,56299,51478,43986,45536,45519,43717,51822,49500,44463,38619,46069,43213,45010,39235,36085,40267,58935,70897,76055,82852
Always Pads,40503,43272,37893,35028,34614,33752,33290,33201,32662,30619,28170,31784,28706,28142,30609,26223,23824,21444,26098,27258,26559,29276,35548,37963,32393,26539
Tampax Tampons,27002,23300,26332,26425,28321,29931,30729,30647,31381,35944,38901,38847,43059,44016,42269,46619,48369,50035,44436,40886,38219,35781,27931,27491,35092,39809
Gillette Mach3 Turbo,13057,12877,14197,15768,18550,21870,17690,26928,35392,30479,21180,22305,26440,24686,26119,24608,30927,17848,22662,19518,23439,35871,24222,12402,17049,19298
